album_uri,album_name,artist,release_date,album_type,remove,notes
3tdZu0CxWNzTsNiYN2gh22,Big Tymin (feat. Doeman),A$Ton Matthews,6/11/19,album,,
5iH4ptWrL1F4SMImvlLmPq,Bitchin (feat. Rio Da Yung OG),A$Ton Matthews,11/7/19,album,,
3CbyEUBuR5HSNcqGc0mDbK,BRAZY,A$Ton Matthews,10/30/17,album,,
5GDffyQmKqXiOU5Wl8h7z5,Coldest Night in Hell,A$Ton Matthews,10/19/16,album,,
0u3pvyb6VKTZS0Vg71nUTB,Desperado,A$Ton Matthews,8/17/16,album,,
7GYS0XftZadaqtOFDDZoYs,DOE (feat. Rizzoo Rizzoo),A$Ton Matthews,11/9/15,album,,
5BHctRG1S9LBbIyoZSC9cW,Ever Since,A$Ton Matthews,5/26/17,album,,
4ydHOKIHofmB39ZgiQdjaL,Gangstaz & Stripperz,A$Ton Matthews,12/13/19,album,,
1uaj2FP0rI1lo1LsFzgz0C,Gettin' to It,A$Ton Matthews,5/22/18,album,,
2kLWpSS400II1y23UhyTS7,Hallelujah,A$Ton Matthews,5/31/16,album,,
4S7vcstEdAtFCJIKiRz9es,Maneuvering,A$Ton Matthews,5/11/18,album,,
0pXjQnWO03XEH0AyZOqXsx,Money Kallin',A$Ton Matthews,6/15/18,album,,
6wH6c2SJtM9cjFreplTIEq,Night To Remember (feat. Da$H),A$Ton Matthews,4/11/17,album,,
2xEGJRUrK3GrtpVj9YpPGT,Phantom Of The Opera (feat. Velous),A$Ton Matthews,9/13/17,album,,
5AUWZMsnWu3WPVVcG2Zw4I,Shootout (feat. Rucci & Saviii 3rd),A$Ton Matthews,1/8/19,album,,
4Br65jcAzGv5nxQ16lOmjj,Trenches,A$Ton Matthews,12/4/18,album,,
1DaBEdJDAkt9PftNTzmhhB,Versace Ragz,A$Ton Matthews,8/4/12,album,,
2FuMGSJC5lI08kWandk65f,Tangerine (Channel Tres Remix),"Aaron Childs, Channel Tres",2/23/18,album,2,
6HvlWPldadrpGl5zZyv9tS,Diva (with Swae Lee & Tove Lo),"Aazar, Swae Lee, Tove Lo",5/10/19,album,2,
1CpGaUOQeF91xvpxnTVEUs,1 Luv,Ace Deuce,6/1/98,album,,
4c4FclEUUMnI7LbCMmXg7x,Breakin Boyz Off,Ace Deuce,3/23/99,album,,
3lYJgygf5d1a8jG9CUSS3I,Comin' Up N' Da Ghetto,Ace Deuce,1996,album,,
6RRB9QpT2xjLGTrXP16xH2,Go to Work,Ace Deuce,10/11/18,album,,
36Tl3Cpnu1Ib9DoehJs0Hv,Raw & Uncut,Ace Deuce,6/1/01,album,,
5BF9vWXslrtQ0fsaOQbPPR,Southern Gutta Butta,Ace Deuce,6/1/00,album,,
0oesVar6wlV7OxTZQvH40S,Street Muzic,Ace Deuce,2003,album,,
022FLGHqbfcMnoWA654PAG,Street Muzic (Screwed & Chopped),Ace Deuce,6/1/03,album,1,duplicate
2nMbzyagsL6osHnaANujkA,The Block All-Star,Ace Deuce,5/11/06,album,,
0otk5J8JLQq3vYkGHrWC0u,What Do You See? The Block Star,Ace Deuce,10/27/04,album,,
6q5LMnH3tFfQ6ZGzIkvNSI,What Do You See? The Block Star!,Ace Deuce,10/26/04,album,1,duplicate
64k1x2JZhoJoh9dyldECx4,Blood Sweat & Tears (Deluxe),Ace Hood,1/1/11,album,,
1bifdp6ifwvWkzNIASETQF,Sex Chronicles,Ace Hood,2/14/11,album,,
7jTENiaKLEZQUdV8WAUmks,Starvation,Ace Hood,3/30/12,album,,
1KHrnIq5oANWK2FzwysZRt,Starvation 2,Ace Hood,1/10/13,album,,
2IIDOFE8BxevBgoUgZWqLJ,Starvation 3,Ace Hood,1/17/14,album,,
6nshOEWHngJmoRFap6dspX,Starvation 4,Ace Hood,11/3/15,album,,
768dhdnqsbqb0iYiOb8NlM,Starvation 5,Ace Hood,7/11/16,album,,
3D5QdPaCvdkfYeTfXNlxU7,The Statement 2,Ace Hood,12/9/11,album,,
1s4cuBEmLMF97N20mY599w,Trials & Tribulations,Ace Hood,1/1/13,album,1,duplicate
